headline,link,description,image
American gymnast Jordan Chiles lost her bronze medal on floor exercise. What happened?,https://apnews.com/article/2024-olympics-jordan-chiles-bronze-5a7db5537e2defb3ebe57b0b746556f3,No description found,No image found
Three German open water swimmers fall ill after Olympic races in the Seine River,https://apnews.com/article/2024-olympics-seine-river-illness-02d937f2d5f0fd20efafbf2250264aea,No description found,No image found
"After coach’s life was likely saved backstage, Uzbekistan dominates Olympic boxing tournament",https://apnews.com/article/2024-olympics-boxing-uzbekistan-c1cca61836751a1a041c0801ad17c980,No description found,No image found
Former students and colleagues recall high school teachers Tim and Gwen Walz as allies and advocates,https://apnews.com/article/tim-walz-teacher-coach-lgbtq-minnesota-mankato-4e03b28f956e7862dc72d25b852af448,No description found,No image found
Donald Trump’s campaign says its emails were hacked,https://apnews.com/article/donald-trump-campaign-hacked-036ffd3ed07cf3fe9fb74d4958808b65,No description found,No image found
Trump is putting mass deportations at the heart of his campaign. Some Republicans are worried,https://apnews.com/article/trump-mass-deportations-latino-voters-ec64f85e3633c9c7a8a247eaf9feb64f,No description found,No image found
"‘I don’t want to die,’ Uvalde student told 911 dispatcher during mass shooting",https://apnews.com/article/uvalde-school-shooting-video-released-2eaabf46b09866b037b3a9dee81b9cd1,No description found,https://dims.apnews.com/dims4/default/c60e096/2147483647/strip/true/crop/2217x1477+165+0/resize/599x399!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F3c%2F1f%2Ff46a559ac262737ba798cc4062bc%2F74592765553f4d40b8f4fe401ad11a95
Israel broadens evacuation orders in southern Gaza after a deadly strike on a school-turned-shelter,https://apnews.com/article/israel-palestinians-hamas-war-news-08-11-2024-18b0a73f930e3cc472a4207168b09ac1,No description found,https://dims.apnews.com/dims4/default/45ead06/2147483647/strip/true/crop/4246x2828+377+0/resize/599x399!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F6e%2F3d%2F22f94aa282fa1a91f1c355090cf3%2F5fe3bdd991514f928c3e67adbc37d2c0
Families of Brazilian plane crash victims gather in Sao Paulo as experts work to identify the dead,https://apnews.com/article/brazil-plane-crash-victims-families-sao-paolo-c92b1f4cb8fd27feaa073fd2553fcbcb,No description found,https://dims.apnews.com/dims4/default/86b15cb/2147483647/strip/true/crop/8192x5457+0+4/resize/599x399!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F80%2F52%2F8bd871deac356635fe07014fe64d%2F8961f2053f5845948a958dddaf5f1a5e
Where do you live? That’s a complicated question for a California town with no street addresses,https://apnews.com/article/carmel-california-addresses-mail-clint-eastwood-2e50f3b356ccf69e3aa3de669bb97831,No description found,https://dims.apnews.com/dims4/default/f5bbde7/2147483647/strip/true/crop/5574x3713+0+2/resize/599x399!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F48%2F08%2Fb7b08e933eb35ee08ba9a3e49a05%2F56b76a693b0043559fa66f70f792f82b
"Billie Eilish, Snoop Dogg and Red Hot Chili Peppers to perform at Paris Olympics’ closing ceremony",https://apnews.com/article/her-billie-eilish-snoop-dogg-red-hot-chil-dd3243e89611a50150087cf7ec36130c,No description found,No image found
Inside the Stephen Curry flurry: How 4 shots sealed another gold for the US in Olympic basketball,https://apnews.com/article/2024-olympics-stephen-curry-2b0fba8be8fb6f9cf12c48a67dec6a8a,No description found,No image found
US colleges are cutting majors and slashing programs after years of putting it off,https://apnews.com/article/college-degree-programs-cuts-music-f0c271f6d61a13404f93688fcc6c589b,No description found,No image found
Why the fastest-growing place for young kids in the US is in the metro with the oldest residents,https://apnews.com/article/census-bureau-villages-florida-demographics-seniors-children-ff53f2fab9e0969147b91ef8bdd2146c,No description found,No image found
Ukraine’s president indirectly acknowledges daring military incursion onto Russian soil,https://apnews.com/article/russia-ukraine-war-kyiv-strikes-256adcd7e5ad8beef792a08fc0f0fe8a,No description found,No image found
The US Navy’s warship production is in its worst state in 25 years. What’s behind it?,https://apnews.com/article/navy-frigate-shipyard-workforce-retention-318c99f2161c4284e5ddcf0c1fa2b353,No description found,No image found
Large geological feature known as the ‘Double Arch’ and the ‘Toilet Bowl’ collapses in southern Utah,https://apnews.com/article/utah-glen-canyon-arch-collapse-7e13b23a72f825ba49f16b54ae86a815,No description found,No image found
"Maryland house leveled after apparent blast, at least 1 person found dead",https://apnews.com/article/house-explosion-maryland-blast-firefighters-ad47258b59e465e3f048fc8213a59bd2,No description found,No image found
US VP Harris on Israeli airstrike on Gaza school,https://apnews.com/video/kamala-harris-israel-hamas-war-war-and-unrest-gaza-minnesota-8686d91c96b04b968406d31de1cd1378,No description found,No image found
Ukrainian boxer Khyzhniak arrives in Kyiv after winning gold at the Paris Olympics,https://apnews.com/video/boxing-2024-paris-olympic-games-ukraine-olympic-games-kazakhstan-3cc91b602c5445b09a36e8f31547a8e4,No description found,No image found
Uvalde shooter’s uncle begged police to let him talk to the gunman,https://apnews.com/video/law-enforcement-texas-crime-national-national-f501da363fc94a4e97ac935002f27f2b,No description found,No image found
172-year-old Japanese factory preserves traditional way of making cast iron cookware,https://apnews.com/article/cast-iron-industry-cookware-photo-2c2a27c43540e4f7bff5762d6731fd42,Katsunori Suzuki is one of a few craftsmen in Japan still producing cast iron cookware by hand using laborious traditional techniques.,https://dims.apnews.com/dims4/default/6511581/2147483647/strip/true/crop/7800x5200+32+0/resize/567x378!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F67%2Fc8%2F595d7671e03861ec78a963eeab84%2Ffb7e45b89a364751b6bdbc60a92d5605
"US surgeon general was warned by his mom to avoid politics, but he jumped into the fray anyway",https://apnews.com/article/surgeon-general-murthy-gun-violence-mental-health-f2cff4178e6e6ca311099d2741e277a6,No description found,https://dims.apnews.com/dims4/default/8c7ee38/2147483647/strip/true/crop/6000x3997+0+2/resize/599x399!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F63%2F93%2F4ff8cbefe27f505a64c413c838cf%2F9b85d088405f4bda86b96871a08d119a
Everyone agrees there’s a homeless crisis in the US. Plans to address it vary among mayor candidates,https://apnews.com/article/san-francisco-election-mayor-homelessness-2024-8c0cfca3416ae564022639dd574901d4,No description found,https://dims.apnews.com/dims4/default/d41623b/2147483647/strip/true/crop/5115x3407+0+1/resize/599x399!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2Ff4%2Fb8%2F8d4d3bb9cd3bbb12c3feb6e41e96%2F060b04554a434e0595e09897aaaf7f59
A mass circumcision is marketed to tourists in a remote area of Uganda. Some are angrily objecting,https://apnews.com/article/uganda-bamasaaba-imbalu-circumcision-ritual-e2a29cfa85eb1dd8d03fcdd4b4696653,No description found,https://dims.apnews.com/dims4/default/2cd2fbf/2147483647/strip/true/crop/4500x2997+0+1/resize/599x399!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F38%2F4d%2F4eec4fa0d864ecd5bd190b21350a%2Face8695199374ff1bd39feb0cb1c033d
"Harrison Ford, Angela Bassett, Miley Cyrus and more will be honored as Disney Legends",https://apnews.com/article/disney-legends-harrison-ford-miley-cyrus-f989ab6ae9b024b39e842281380e2fd4,No description found,https://dims.apnews.com/dims4/default/8414d65/2147483647/strip/true/crop/3000x1998+0+1/resize/599x399!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2Fbd%2F34%2F0116c438a3b59b0fdbff7d065255%2F0e1abc1cbc6e4123acea25ac81a61f89
1929,https://apnews.com/article/today-in-history-bill-clinton-joint-chiefs-of-staff-jackson-pollock-2a3f255e88493a92caa9dbc1b7b7e9f8,Babe Ruth first to 500 homers,No image found
1965,https://apnews.com/article/today-in-history-bill-clinton-joint-chiefs-of-staff-jackson-pollock-2a3f255e88493a92caa9dbc1b7b7e9f8,Watts riots begin,No image found
